PLAYER_NAME,PLAYER_ID,ab3c attempt,ab3lc attempt,ab3rc attempt,paint attempt,lc3 attempt,mrc attempt,mrlc attempt,mrl attempt,mrrc attempt,mrr attempt,ra attempt,rc3 attempt,ab3c pct,ab3lc pct,ab3rc pct,paint pct,lc3 pct,mrc pct,mrlc pct,mrl pct,mrrc pct,mrr pct,ra pct,rc3 pct,total_attempts,Salary,Pos,Ht,Wt,Exp,Birth Date,Ht_in
Aaron Gordon,203932,55,66,65,119,27,22,20,34,24,36,275,18,0.3090909090909091,0.25757575757575757,0.36923076923076925,0.35294117647058826,0.37037037037037035,0.3181818181818182,0.15,0.35294117647058826,0.041666666666666664,0.3055555555555556,0.6763636363636364,0.2777777777777778,767,19863636,PF,6-8,235,5,"September 16, 1995",80
Aaron Holiday,1628988,44,68,70,106,16,28,16,17,14,19,142,22,0.4318181818181818,0.38235294117647056,0.35714285714285715,0.3490566037735849,0.4375,0.32142857142857145,0.625,0.17647058823529413,0.42857142857142855,0.21052631578947367,0.5422535211267606,0.45454545454545453,563,2239200,PG,6-0,185,1,"September 30, 1996",72
Al Horford,201143,113,70,63,111,15,47,16,36,9,49,158,22,0.35398230088495575,0.3142857142857143,0.42857142857142855,0.36036036036036034,0.26666666666666666,0.44680851063829785,0.375,0.4166666666666667,0.3333333333333333,0.5102040816326531,0.6962025316455697,0.2727272727272727,709,28000000,C,6-9,240,12,"June 3, 1986",81
Alec Burks,202692,64,87,89,138,34,31,22,24,27,39,186,25,0.453125,0.3218390804597701,0.34831460674157305,0.34057971014492755,0.5,0.3225806451612903,0.36363636363636365,0.4583333333333333,0.37037037037037035,0.5128205128205128,0.532258064516129,0.44,768,2320044,SF,6-6,214,8,"July 20, 1991",78
Andrew Wiggins,203952,73,137,77,210,30,35,27,25,29,20,298,17,0.3835616438356164,0.291970802919708,0.35064935064935066,0.3761904761904762,0.43333333333333335,0.3142857142857143,0.3333333333333333,0.4,0.3793103448275862,0.25,0.674496644295302,0.17647058823529413,978,27504630,SF,6-7,197,5,"February 23, 1995",79
Anfernee Simons,1629014,30,77,74,78,24,26,17,13,28,23,126,17,0.36666666666666664,0.38961038961038963,0.2702702702702703,0.3076923076923077,0.4166666666666667,0.46153846153846156,0.4117647058823529,0.38461538461538464,0.42857142857142855,0.391304347826087,0.5555555555555556,0.23529411764705882,536,2149560,SG,6-3,181,1,"June 8, 1999",75
Anthony Davis,203076,53,71,48,207,28,38,53,103,23,35,419,15,0.33962264150943394,0.28169014084507044,0.3125,0.40096618357487923,0.5357142857142857,0.39473684210526316,0.3018867924528302,0.3786407766990291,0.17391304347826086,0.4,0.7350835322195705,0.26666666666666666,1096,27093019,PF,6-10,253,7,"March 11, 1993",82
Avery Bradley,202340,13,48,28,34,47,31,17,16,24,12,76,36,0.38461538461538464,0.3333333333333333,0.42857142857142855,0.47058823529411764,0.44680851063829785,0.5483870967741935,0.23529411764705882,0.4375,0.4583333333333333,0.4166666666666667,0.618421052631579,0.25,383,4767000,SG,6-3,180,9,"November 26, 1990",75
Bobby Portis,1626171,56,30,61,121,23,23,12,34,13,50,150,16,0.3392857142857143,0.23333333333333334,0.39344262295081966,0.4793388429752066,0.5217391304347826,0.30434782608695654,0.5833333333333334,0.38235294117647056,0.6153846153846154,0.32,0.6,0.25,589,15000000,PF,6-10,250,4,"February 10, 1995",82
Bogdan Bogdanovic,203992,74,156,120,108,44,23,11,25,16,26,116,46,0.2972972972972973,0.4423076923076923,0.3416666666666667,0.48148148148148145,0.36363636363636365,0.6521739130434783,0.36363636363636365,0.4,0.625,0.4230769230769231,0.6120689655172413,0.34782608695652173,766,8529386,SG,6-6,220,2,"August 18, 1992",78
Bojan Bogdanovic,202711,76,102,126,178,58,18,5,13,5,27,232,94,0.4342105263157895,0.4117647058823529,0.35714285714285715,0.38764044943820225,0.5,0.2777777777777778,0.2,0.38461538461538464,0.2,0.25925925925925924,0.6077586206896551,0.425531914893617,935,17000000,SF,6-7,226,5,"April 18, 1989",79
Bradley Beal,203078,114,167,138,188,38,68,41,63,36,63,363,23,0.30701754385964913,0.39520958083832336,0.36231884057971014,0.39893617021276595,0.3684210526315789,0.5294117647058824,0.36585365853658536,0.36507936507936506,0.3055555555555556,0.42857142857142855,0.650137741046832,0.21739130434782608,1303,27093018,SG,6-3,207,7,"June 28, 1993",75
Brandon Clarke,1629634,14,11,10,134,12,6,5,9,4,10,248,16,0.5,0.36363636363636365,0.3,0.582089552238806,0.3333333333333333,0.5,0.4,0.1111111111111111,0.25,0.4,0.7419354838709677,0.3125,479,2478840,PF,6-8,215,0,"September 19, 1996",80
Brandon Ingram,1627742,61,121,92,164,60,54,30,63,35,61,307,46,0.3770491803278688,0.34710743801652894,0.41304347826086957,0.3719512195121951,0.45,0.37037037037037035,0.5333333333333333,0.5555555555555556,0.37142857142857144,0.3442622950819672,0.6254071661237784,0.41304347826086957,1096,7265485,PF,6-8,190,3,"September 2, 1997",80
Bryn Forbes,1627854,95,124,124,57,15,40,17,5,21,15,45,22,0.2736842105263158,0.43548387096774194,0.4274193548387097,0.38596491228070173,0.3333333333333333,0.5,0.35294117647058826,0.4,0.42857142857142855,0.4,0.6444444444444445,0.45454545454545453,581,2875000,SG,6-2,205,3,"July 23, 1993",74
Buddy Hield,1627741,137,254,166,90,82,45,42,57,26,36,178,48,0.32116788321167883,0.4015748031496063,0.3855421686746988,0.34444444444444444,0.4634146341463415,0.3333333333333333,0.5714285714285714,0.3157894736842105,0.46153846153846156,0.3611111111111111,0.6404494382022472,0.4791666666666667,1162,4861207,SG,6-4,220,3,"December 17, 1992",76
Cam Reddish,1629629,42,69,58,86,40,17,13,8,20,18,142,41,0.3333333333333333,0.34782608695652173,0.3275862068965517,0.3372093023255814,0.325,0.35294117647058826,0.3076923076923077,0.125,0.45,0.3888888888888889,0.5211267605633803,0.3170731707317073,554,4245720,SF,6-8,218,0,"September 1, 1999",80
Caris LeVert,1627747,69,81,44,217,18,22,12,19,4,16,223,7,0.2753623188405797,0.3950617283950617,0.38636363636363635,0.3870967741935484,0.4444444444444444,0.18181818181818182,0.4166666666666667,0.2631578947368421,0.5,0.4375,0.5560538116591929,0.5714285714285714,732,2625717,SG,6-6,205,3,"August 25, 1994",78
Carmelo Anthony,2546,23,76,76,93,14,16,42,69,30,134,173,35,0.34782608695652173,0.3684210526315789,0.3157894736842105,0.46236559139784944,0.35714285714285715,0.375,0.35714285714285715,0.391304347826087,0.36666666666666664,0.4253731343283582,0.5202312138728323,0.6285714285714286,782,2159029,PF,6-7,238,16,"May 29, 1984",79
Chris Paul,101108,85,97,76,217,21,84,38,37,50,82,75,13,0.4823529411764706,0.38144329896907214,0.27631578947368424,0.4976958525345622,0.42857142857142855,0.5476190476190477,0.6578947368421053,0.5405405405405406,0.5,0.5,0.7733333333333333,0.15384615384615385,887,38506482,PG,6-0,175,14,"May 6, 1985",72
CJ McCollum,203468,117,180,135,265,40,87,45,59,52,68,268,40,0.3247863247863248,0.34444444444444444,0.37037037037037035,0.4377358490566038,0.575,0.47126436781609193,0.4666666666666667,0.4406779661016949,0.5769230769230769,0.5,0.5559701492537313,0.525,1356,27556959,SG,6-3,190,6,"September 19, 1991",75
Coby White,1629632,90,110,119,78,41,25,19,6,36,24,228,15,0.3111111111111111,0.38181818181818183,0.36134453781512604,0.3717948717948718,0.3170731707317073,0.44,0.47368421052631576,0,0.25,0.3333333333333333,0.4956140350877193,0.4666666666666667,792,5307120,PG,6-5,195,0,"February 16, 2000",77
Collin Sexton,1629012,58,63,102,270,16,28,13,47,31,43,399,16,0.43103448275862066,0.2857142857142857,0.3627450980392157,0.44814814814814813,0.5625,0.39285714285714285,0.3076923076923077,0.3617021276595745,0.5161290322580645,0.4186046511627907,0.5739348370927319,0.5,1086,4764960,PG,6-1,190,1,"January 4, 1999",73
Cory Joseph,202709,24,58,35,89,26,28,18,21,8,11,78,14,0.20833333333333334,0.3793103448275862,0.34285714285714286,0.38202247191011235,0.4230769230769231,0.35714285714285715,0.3333333333333333,0.3333333333333333,0.75,0.2727272727272727,0.6282051282051282,0.42857142857142855,412,12000000,PG,6-3,200,8,"August 20, 1991",75
D'Angelo Russell,1626156,109,151,132,162,16,38,33,26,38,40,78,21,0.3761467889908257,0.37748344370860926,0.3409090909090909,0.3888888888888889,0.375,0.5789473684210527,0.5454545454545454,0.34615384615384615,0.5,0.425,0.6923076923076923,0.42857142857142855,846,27285000,PG,6-4,193,4,"February 23, 1996",76
Damian Lillard,203081,194,236,213,95,10,22,19,37,30,38,434,17,0.3556701030927835,0.4279661016949153,0.4084507042253521,0.3473684210526316,0.4,0.3181818181818182,0.2631578947368421,0.5405405405405406,0.5333333333333333,0.4473684210526316,0.5898617511520737,0.47058823529411764,1349,29802321,PG,6-2,195,7,"July 15, 1990",74
Damion Lee,1627814,46,44,94,92,30,15,5,24,19,23,94,24,0.30434782608695654,0.45454545454545453,0.32978723404255317,0.391304347826087,0.36666666666666664,0.3333333333333333,0.4,0.5416666666666666,0.2631578947368421,0.43478260869565216,0.6063829787234043,0.375,511,842327,SG,6-5,210,2,"October 21, 1992",77
Damyean Dotson,1628422,29,45,62,20,10,20,11,6,19,11,40,17,0.3793103448275862,0.37777777777777777,0.3548387096774194,0.3,0.2,0.55,0.2727272727272727,0.6666666666666666,0.2631578947368421,0.6363636363636364,0.625,0.4117647058823529,290,1618520,SG,6-5,210,2,"May 6, 1994",77
Danilo Gallinari,201568,96,156,137,79,22,20,32,54,20,40,134,26,0.4583333333333333,0.41025641025641024,0.3795620437956204,0.2911392405063291,0.3181818181818182,0.4,0.53125,0.42592592592592593,0.4,0.4,0.6343283582089553,0.4230769230769231,817,22615559,PF,6-10,233,10,"August 8, 1988",82
Darius Garland,1629636,68,80,88,123,36,25,14,30,26,41,145,23,0.3382352941176471,0.2875,0.3977272727272727,0.43089430894308944,0.3888888888888889,0.28,0.5714285714285714,0.43333333333333335,0.4230769230769231,0.4634146341463415,0.4413793103448276,0.43478260869565216,699,6400920,SG,6-1,192,0,"January 26, 2000",73
De'Aaron Fox,1628368,38,75,42,219,18,27,19,26,9,12,317,11,0.34210526315789475,0.29333333333333333,0.3333333333333333,0.4337899543378995,0.2222222222222222,0.4444444444444444,0.5789473684210527,0.38461538461538464,0.6666666666666666,0.16666666666666666,0.6309148264984227,0.18181818181818182,815,6392760,PG,6-3,185,2,"December 20, 1997",75
De'Andre Hunter,1629631,39,81,73,101,55,25,27,10,18,23,175,54,0.41025641025641024,0.32098765432098764,0.3698630136986301,0.2871287128712871,0.38181818181818183,0.4,0.4074074074074074,0.7,0.6111111111111112,0.30434782608695654,0.5542857142857143,0.3333333333333333,683,7068360,SF,6-8,225,0,"December 2, 1997",80
De'Anthony Melton,1629001,22,46,40,79,15,12,12,4,18,14,122,15,0.22727272727272727,0.30434782608695654,0.225,0.379746835443038,0.4,0.08333333333333333,0.25,0.5,0.2777777777777778,0.42857142857142855,0.6065573770491803,0.4,401,1416852,PG,6-2,200,1,"May 28, 1998",74
Dejounte Murray,1627749,13,30,26,134,22,54,39,49,20,28,203,19,0.3076923076923077,0.4666666666666667,0.2692307692307692,0.39552238805970147,0.36363636363636365,0.48148148148148145,0.38461538461538464,0.4897959183673469,0.6,0.39285714285714285,0.5517241379310345,0.42105263157894735,637,2321735,PG,6-4,180,2,"September 19, 1996",76
Derrick Rose,201565,25,65,37,185,8,29,22,34,29,33,274,11,0.28,0.3076923076923077,0.24324324324324326,0.4540540540540541,0.375,0.4482758620689655,0.45454545454545453,0.35294117647058826,0.4482758620689655,0.5454545454545454,0.635036496350365,0.5454545454545454,753,7317074,PG,6-2,200,10,"October 4, 1988",74
Derrick White,1628401,47,80,51,107,22,16,9,14,9,16,165,13,0.5319148936170213,0.275,0.37254901960784315,0.514018691588785,0.2727272727272727,0.5625,0.3333333333333333,0.21428571428571427,0.2222222222222222,0.3125,0.5878787878787879,0.5384615384615384,552,1948080,SG,6-4,190,2,"July 2, 1994",76
Devin Booker,1626164,91,159,107,222,23,63,40,95,42,92,332,16,0.31868131868131866,0.389937106918239,0.32710280373831774,0.46846846846846846,0.4782608695652174,0.47619047619047616,0.525,0.4,0.3333333333333333,0.5434782608695652,0.6897590361445783,0.25,1283,27285000,SG,6-5,206,4,"October 30, 1996",77
Dillon Brooks,1628415,73,141,147,236,24,44,33,34,49,50,211,25,0.3150684931506849,0.3546099290780142,0.3877551020408163,0.3940677966101695,0.2916666666666667,0.4318181818181818,0.48484848484848486,0.38235294117647056,0.3877551020408163,0.36,0.5213270142180095,0.4,1068,1618520,SG,6-7,225,2,"January 22, 1996",79
Donovan Mitchell,1628378,107,123,172,346,28,48,52,51,42,46,284,38,0.37383177570093457,0.3983739837398374,0.3313953488372093,0.42485549132947975,0.2857142857142857,0.4166666666666667,0.5,0.47058823529411764,0.5238095238095238,0.391304347826087,0.6056338028169014,0.5,1342,3635760,SG,6-1,215,2,"September 7, 1996",73
Donte DiVincenzo,1628978,49,75,78,36,22,12,5,4,11,7,189,19,0.3469387755102041,0.36,0.358974358974359,0.3611111111111111,0.18181818181818182,0.5,0.8,0.75,0.45454545454545453,0.14285714285714285,0.6243386243386243,0.3157894736842105,510,2905800,SG,6-4,203,1,"January 31, 1997",76
Doug McDermott,203926,119,84,20,37,60,28,7,14,5,7,154,12,0.40336134453781514,0.4642857142857143,0.55,0.4594594594594595,0.43333333333333335,0.2857142857142857,0.42857142857142855,0.2857142857142857,0,0.2857142857142857,0.6753246753246753,0.4166666666666667,547,7333333,PF,6-7,225,5,"January 3, 1992",79
Draymond Green,203110,49,29,38,54,4,12,7,6,7,10,91,9,0.2653061224489796,0.27586206896551724,0.2894736842105263,0.37037037037037035,0.25,0.4166666666666667,0.14285714285714285,0,0.2857142857142857,0.4,0.6043956043956044,0.3333333333333333,316,18539130,PF,6-6,230,7,"March 4, 1990",78
E'Twaun Moore,202734,11,62,36,126,33,9,13,20,6,14,82,25,0.2727272727272727,0.4032258064516129,0.3333333333333333,0.40476190476190477,0.3939393939393939,0.3333333333333333,0.38461538461538464,0.35,0.16666666666666666,0.35714285714285715,0.6219512195121951,0.4,437,8664928,SG,6-3,191,8,"February 25, 1989",75
Eric Bledsoe,202339,33,67,84,133,14,17,14,15,16,21,272,17,0.3333333333333333,0.26865671641791045,0.44047619047619047,0.3458646616541353,0.21428571428571427,0.47058823529411764,0.42857142857142855,0.3333333333333333,0.375,0.3333333333333333,0.6691176470588235,0.29411764705882354,703,15625000,PG,6-1,214,9,"December 9, 1989",73
Eric Paschall,1629672,14,39,40,136,17,16,35,18,27,32,247,17,0.21428571428571427,0.358974358974359,0.25,0.4264705882352941,0.29411764705882354,0.3125,0.5142857142857142,0.3333333333333333,0.4444444444444444,0.4375,0.680161943319838,0.29411764705882354,640,898310,PF,6-6,255,0,"November 4, 1996",78
Evan Fournier,203095,129,148,91,149,53,49,22,34,20,23,197,14,0.4496124031007752,0.31756756756756754,0.37362637362637363,0.40939597315436244,0.5660377358490566,0.3673469387755102,0.5,0.5294117647058824,0.45,0.4782608695652174,0.6700507614213198,0.35714285714285715,929,17150000,SF,6-7,205,7,"October 29, 1992",79
Frank Ntilikina,1628373,34,41,32,40,12,32,14,10,19,12,69,17,0.23529411764705882,0.36585365853658536,0.21875,0.35,0.5833333333333334,0.40625,0.35714285714285715,0.3,0.47368421052631576,0.4166666666666667,0.5507246376811594,0.4117647058823529,333,4855800,PG,6-4,200,2,"July 28, 1998",76
Fred VanVleet,1627832,99,104,106,68,33,18,9,10,18,6,270,30,0.42424242424242425,0.4326923076923077,0.3018867924528302,0.22058823529411764,0.42424242424242425,0.4444444444444444,0.1111111111111111,0.4,0.2777777777777778,0.16666666666666666,0.5148148148148148,0.43333333333333335,773,9346153,SG,6-1,197,3,"February 25, 1994",73
Furkan Korkmaz,1627788,49,97,122,69,42,14,10,12,9,16,78,44,0.2857142857142857,0.4020618556701031,0.38524590163934425,0.4057971014492754,0.47619047619047616,0.42857142857142855,0.5,0.4166666666666667,0.2222222222222222,0.3125,0.6153846153846154,0.5227272727272727,563,1620564,SG,6-7,202,2,"July 24, 1997",79
Garrett Temple,202066,52,124,91,37,67,13,6,15,8,8,114,52,0.25,0.2903225806451613,0.37362637362637363,0.40540540540540543,0.40298507462686567,0.3076923076923077,0.6666666666666666,0.13333333333333333,0.5,0.375,0.5526315789473685,0.3269230769230769,587,4767000,SG,6-5,195,9,"May 8, 1986",77
Gary Harris,203914,29,66,45,79,44,17,11,13,8,8,176,22,0.27586206896551724,0.25757575757575757,0.28888888888888886,0.25316455696202533,0.5,0.47058823529411764,0.45454545454545453,0.38461538461538464,0.5,0.375,0.5852272727272727,0.45454545454545453,519,18189286,SG,6-4,210,5,"September 14, 1994",76
George Hill,201588,28,35,68,41,25,12,4,7,5,4,127,19,0.2857142857142857,0.42857142857142855,0.5294117647058824,0.34146341463414637,0.52,0.4166666666666667,0.5,0.2857142857142857,0.6,0,0.6850393700787402,0.47368421052631576,376,10133907,PG,6-4,188,11,"May 4, 1986",76
Goran Dragic,201609,79,84,109,125,33,22,17,17,16,28,161,32,0.4177215189873418,0.30952380952380953,0.3486238532110092,0.368,0.5757575757575758,0.4090909090909091,0.5882352941176471,0.29411764705882354,0.375,0.42857142857142855,0.6645962732919255,0.25,724,19217900,PG,6-3,190,11,"May 6, 1986",75
Gordon Hayward,202330,49,75,48,143,25,39,28,28,21,30,189,24,0.4489795918367347,0.3333333333333333,0.375,0.43356643356643354,0.44,0.46153846153846156,0.35714285714285715,0.5,0.6190476190476191,0.5666666666666667,0.6931216931216931,0.375,700,32700690,SF,6-7,225,9,"March 23, 1990",79
Gorgui Dieng,203476,42,52,17,42,21,5,7,23,10,13,112,20,0.30952380952380953,0.34615384615384615,0.29411764705882354,0.40476190476190477,0.42857142857142855,0.8,0.2857142857142857,0.43478260869565216,0.5,0.07692307692307693,0.6517857142857143,0.45,364,16229213,C,6-10,252,6,"January 18, 1990",82
Ja Morant,1629630,59,34,62,257,10,24,7,14,16,14,426,9,0.3559322033898305,0.3235294117647059,0.3064516129032258,0.43190661478599224,0.4,0.4166666666666667,0.2857142857142857,0.5714285714285714,0.25,0.35714285714285715,0.57981220657277,0.5555555555555556,937,8730240,PG,6-3,174,0,"August 10, 1999",75
Jabari Parker,203953,26,30,21,69,23,8,9,10,5,8,201,17,0.2692307692307692,0.2,0.2857142857142857,0.43478260869565216,0.30434782608695654,0.25,0.3333333333333333,0.2,0.4,0.25,0.7263681592039801,0.35294117647058826,429,6500000,PF,6-8,245,5,"March 15, 1995",80
Jacob Evans,1628980,8,14,7,27,5,11,14,8,7,9,19,5,0,0.42857142857142855,0.5714285714285714,0.3333333333333333,0.2,0.36363636363636365,0.35714285714285715,0.25,0.42857142857142855,0.2222222222222222,0.3684210526315789,0.4,134,1925880,SG,6-4,210,1,"June 18, 1997",76
Jae Crowder,203109,93,118,89,22,41,5,6,7,7,9,113,52,0.3333333333333333,0.3220338983050847,0.34831460674157305,0.22727272727272727,0.4878048780487805,0.4,0.3333333333333333,0.42857142857142855,0.2857142857142857,0.4444444444444444,0.6460176991150443,0.28846153846153844,563,7815533,PF,6-6,235,7,"July 6, 1990",78
Jalen Brunson,1628973,21,33,37,101,13,21,20,9,10,16,91,16,0.3333333333333333,0.30303030303030304,0.43243243243243246,0.45544554455445546,0.3076923076923077,0.5238095238095238,0.4,0.4444444444444444,0.4,0.5625,0.6153846153846154,0.375,388,1416852,PG,6-1,190,1,"August 31, 1996",73
Jamal Murray,1627750,68,128,90,146,17,64,40,46,51,28,196,17,0.27941176470588236,0.3828125,0.32222222222222224,0.4589041095890411,0.47058823529411764,0.421875,0.4,0.45652173913043476,0.5490196078431373,0.5,0.6326530612244898,0.35294117647058826,894,4444746,PG,6-3,215,3,"February 23, 1997",75
Jaylen Brown,1627759,54,117,70,165,51,30,14,18,12,26,284,44,0.37037037037037035,0.3333333333333333,0.34285714285714286,0.4484848484848485,0.47058823529411764,0.4666666666666667,0.35714285714285715,0.5,0.3333333333333333,0.38461538461538464,0.6408450704225352,0.5,887,6534829,SG,6-6,223,3,"October 24, 1996",78
Jayson Tatum,1628369,101,143,137,197,48,38,32,48,23,65,354,37,0.3564356435643564,0.45454545454545453,0.40145985401459855,0.3756345177664975,0.5,0.39473684210526316,0.375,0.3958333333333333,0.5217391304347826,0.3230769230769231,0.5932203389830508,0.24324324324324326,1226,7830000,PF,6-8,210,2,"March 3, 1998",80
Jeff Teague,201952,45,37,24,166,4,12,8,10,4,7,165,7,0.35555555555555557,0.43243243243243246,0.25,0.3674698795180723,0.25,0.3333333333333333,0.375,0.3,0.25,0.5714285714285714,0.5696969696969697,0.5714285714285714,489,19000000,PG,6-3,195,10,"June 10, 1988",75
Jerami Grant,203924,45,59,64,86,34,15,16,16,5,24,222,47,0.35555555555555557,0.423728813559322,0.4375,0.29069767441860467,0.20588235294117646,0.5333333333333333,0.0625,0.375,0.2,0.5833333333333334,0.6801801801801802,0.44680851063829785,634,9346153,PF,6-8,210,5,"March 12, 1994",80
Jeremy Lamb,203087,25,52,53,76,13,29,39,30,20,19,108,14,0.32,0.40384615384615385,0.2641509433962264,0.4473684210526316,0.3076923076923077,0.3103448275862069,0.38461538461538464,0.6333333333333333,0.55,0.5789473684210527,0.5925925925925926,0.42857142857142855,479,10500000,SG,6-5,180,7,"May 30, 1992",77
Jerome Robinson,1629010,20,49,39,36,28,8,12,20,16,19,46,17,0.3,0.40816326530612246,0.28205128205128205,0.2777777777777778,0.2857142857142857,0.125,0.25,0.5,0.375,0.5789473684210527,0.5434782608695652,0.23529411764705882,310,3567720,SG,6-4,190,1,"February 22, 1997",76
Jevon Carter,1628975,18,36,38,16,30,10,7,6,8,8,42,22,0.3888888888888889,0.3888888888888889,0.4473684210526316,0.1875,0.36666666666666664,0.5,0.42857142857142855,0.16666666666666666,0.5,0.375,0.47619047619047616,0.5909090909090909,243,1416852,PG,6-1,200,1,"September 14, 1995",73
